height,weight,born
180,77,1918
188,83,1921
193,86,1924
196,88,1925
178,79,1927
180,79,1926
196,90,1921
183,77,1924
196,90,1927
196,95,1927
193,95,1925
208,102,1922
190,79,1928
196,97,1925
196,81,1927
185,81,1923
193,83,1920
193,92,1923
208,106,1930
196,99,1925
190,86,1926
190,79,1923
190,81,1927
183,77,1919
196,90,1917
193,88,1924
180,77,1917
190,83,1920
188,86,1925
196,88,1922
188,81,1920
201,88,1924
178,70,1923
183,81,1928
201,90,1924
193,92,1925
185,74,1923
183,79,1922
185,77,1922
185,79,1920
190,81,1924
196,79,1924
183,79,1927
196,88,1919
188,81,1926
198,88,1922
190,85,1922
196,92,1917
188,79,1925
190,79,1922
190,86,1920
185,83,1929
188,81,1925
188,86,1922
196,86,1921
180,77,1922
198,88,1918
198,95,1927
196,90,1925
183,72,1920
180,79,1923
196,89,1921
193,102,1922
201,86,1927
190,83,1927
201,88,1930
190,88,1927
188,83,1923
201,98,1926
196,90,1925
208,108,1925
206,102,1919
185,77,1918
183,81,1919
201,95,1923
188,81,1920
201,88,1927
201,88,1927
180,81,1921
190,92,1924
206,97,1924
190,77,1924
206,102,1923
178,79,1922
188,88,1925
193,83,1925
178,79,1920
193,81,1925
190,83,1924
190,83,1920
180,79,1917
196,107,1920
180,77,1921
180,77,1921
206,103,1925
190,86,1928
183,83,1923
198,97,1925
198,97,1920
190,78,1924
188,77,1923
190,79,1926
201,97,1921
201,96,1920
180,72,1927
188,87,1925
188,83,1922
190,83,1926
190,83,1927
188,86,1920
188,88,1921
208,99,1925
188,79,1921
185,80,1923
203,83,1928
183,81,1923
203,99,1922
193,92,1919
178,77,1925
193,86,1923
190,95,1923
180,81,1922
183,81,1926
198,83,1919
196,95,1927
196,88,1922
183,76,1922
196,95,1924
203,104,1925
208,111,1924
201,104,1928
201,95,1928
201,95,1923
193,86,1921
188,88,1925
183,74,1925
183,86,1928
201,100,1926
185,74,1921
193,83,1924
203,95,1927
190,81,1921
203,88,1924
206,99,1915
183,78,1928
185,81,1925
188,83,1923
190,79,1923
180,72,1922
190,88,1927
208,108,1921
201,99,1925
190,83,1925
190,90,1921
183,78,1924
188,79,1925
188,83,1922
193,78,1926
190,86,1922
206,99,1924
196,88,1925
188,88,1922
193,83,1922
206,99,1927
201,86,1923
201,86,1923
198,99,1922
196,86,1921
180,74,1914
206,90,1924
188,83,1924
206,95,1925
206,83,1923
183,76,1923
178,70,1927
178,74,1923
196,108,1917
178,79,1921
188,83,1924
183,79,1918
196,90,1927
196,92,1925
203,99,1928
201,104,1922
198,90,1922
188,87,1917
178,81,1922
190,86,1923
190,88,1926
178,74,1924
188,86,1922
188,81,1922
185,81,1928
190,83,1924
188,79,1923
185,90,1913
203,100,1925
185,88,1918
190,86,1922
183,81,1920
196,92,1925
193,90,1920
185,83,1921
188,83,1923
196,99,1923
198,97,1922
183,83,1920
193,95,1920
183,77,1922
183,77,1922
190,88,1923
190,88,1928
193,92,1921
193,92,1921
198,95,1920
183,77,1922
198,92,1921
188,72,1927
183,77,1921
175,70,1926
175,70,1926
175,70,1921
188,77,1925
,,
193,86,1928
190,90,1929
188,72,1926
203,99,1924
196,99,1924
185,79,1925
196,95,1927
198,99,1922
196,95,1926
185,79,1928
198,97,1922
188,86,1926
203,104,1922
206,97,1928
193,95,1927
185,77,1928
201,83,1926
196,90,1928
196,90,1928
196,83,1926
198,95,1926
196,83,1924
188,86,1928
188,83,1928
188,79,1925
201,95,1927
193,90,1923
196,88,1928
206,96,1928
196,90,1928
185,79,1926
198,90,1923
201,95,1929
190,90,1929
196,86,1926
198,99,1926
185,79,1926
183,81,1929
203,104,1927
203,90,1929
198,90,1928
203,95,1929
185,77,1929
183,79,1928
196,88,1930
188,81,1928
188,83,1922
175,72,1928
196,97,1928
193,83,1926
190,83,1925
193,92,1928
185,83,1927
188,83,1929
190,92,1928
211,106,1927
178,74,1929
180,81,1926
211,95,1928
185,79,1926
193,83,1926
193,92,1927
185,77,1931
183,77,1930
203,102,1930
201,98,1930
188,79,1930
185,83,1928
180,81,1930
201,90,1929
201,102,1929
190,81,1930
196,83,1927
188,92,1927
178,78,1928
188,86,1925
178,77,1928
196,90,1931
185,83,1928
201,94,1930
203,102,1931
193,86,1931
196,97,1930
190,83,1929
188,83,1928
190,95,1928
188,88,1927
201,90,1929
190,86,1930
183,72,1929
188,83,1928
185,77,1927
193,95,1929
206,97,1930
201,97,1930
183,83,1930
188,83,1928
190,81,1929
193,86,1931
190,83,1930
196,92,1931
203,92,1931
198,102,1930
190,86,1927
211,99,1930
203,95,1931
188,86,1928
180,83,1928
196,81,1930
188,95,1931
201,95,1932
188,84,1930
198,97,1931
206,106,1929
188,81,1928
198,90,1931
211,106,1930
211,106,1929
196,95,1932
196,88,1925
190,79,1935
196,88,1935
193,88,1930
198,81,1929
190,97,1929
185,81,1929
198,95,1930
193,83,1929
180,73,1930
196,86,1928
201,86,1930
190,88,1930
190,77,1932
193,95,1930
190,83,1929
185,84,1931
188,86,1929
190,95,1929
193,86,1932
196,86,1928
196,77,1930
198,111,1932
188,80,1929
206,104,1932
198,99,1931
188,83,1929
188,83,1930
193,97,1931
190,86,1928
190,86,1928
190,83,1930
196,81,1932
203,99,1932
198,95,1933
193,92,1932
206,92,1932
190,86,1931
196,92,1930
190,81,1932
188,77,1931
206,99,1932
201,83,1932
193,77,1930
183,72,1930
185,81,1930
196,99,1933
188,86,1931
201,108,1931
196,90,1933
201,99,1932
196,88,1931
213,99,1930
190,83,1931
193,86,1933
190,85,1933
190,90,1932
198,92,1933
190,86,1933
198,99,1933
190,83,1929
203,86,1932
196,99,1930
183,76,1933
193,86,1931
188,92,1933
188,81,1930
201,97,1933
196,86,1935
190,88,1935
206,89,1933
190,83,1933
201,105,1933
198,95,1934
198,104,1931
190,81,1932
203,99,1933
198,95,1927
203,95,1932
190,83,1932
201,103,1934
188,83,1933
193,88,1932
193,95,1931
201,98,1934
198,97,1934
203,92,1934
208,92,1933
183,73,1935
190,83,1932
185,83,1934
198,102,1934
198,90,1932
198,104,1934
185,81,1934
208,97,1934
203,90,1933
190,83,1934
196,92,1935
201,97,1935
196,86,1930
193,88,1931
198,86,1935
185,83,1933
188,77,1931
193,86,1935
190,99,1932
193,83,1935
193,83,1935
203,95,1931
193,89,1933
203,104,1935
188,80,1935
188,79,1931
188,83,1935
196,95,1935
193,86,1933
201,99,1934
198,98,1932
203,104,1935
193,88,1930
188,83,1933
196,102,1934
198,95,1935
193,90,1933
198,92,1936
201,79,1935
203,92,1936
206,100,1936
196,83,1936
203,108,1937
201,95,1936
198,97,1937
188,79,1936
198,86,1935
190,88,1936
196,97,1932
196,97,1932
180,83,1936
196,92,1936
203,101,1933
206,99,1936
206,97,1936
183,83,1935
188,83,1934
201,92,1936
203,99,1933
206,102,1936
190,90,1937
193,86,1936
183,81,1932
216,124,1936
203,104,1937
196,90,1933
196,99,1937
196,95,1936
201,95,1937
188,88,1935
201,99,1937
190,86,1935
193,90,1937
206,102,1937
206,99,1938
193,86,1937
190,83,1936
185,72,1933
183,79,1936
203,97,1937
198,92,1938
193,81,1938
221,106,1933
208,99,1938
203,97,1938
203,97,1938
190,83,1936
180,81,1938
196,95,1938
193,90,1936
185,77,1938
201,97,1938
190,86,1936
198,97,1936
196,92,1938
198,95,1938
188,79,1938
185,81,1937
193,95,1936
211,102,1939
185,79,1939
185,79,1939
201,95,1937
206,95,1938
198,102,1939
188,90,1936
188,79,1938
175,72,1938
178,77,1937
180,81,1939
180,81,1939
185,83,1938
201,99,1938
206,95,1938
193,83,1938
198,92,1939
188,83,1939
198,97,1938
185,79,1938
208,102,1939
198,95,1939
190,85,1939
203,106,1938
206,97,1938
201,99,1939
196,99,1938
185,81,1936
196,86,1939
188,83,1937
190,95,1937
193,97,1938
203,106,1937
185,79,1939
185,81,1938
206,102,1939
198,103,1939
203,108,1941
193,81,1936
198,99,1940
201,85,1940
203,90,1940
193,79,1922
208,95,1940
198,86,1940
190,77,1939
201,86,1937
203,102,1938
196,92,1940
203,87,1940
203,87,1940
190,86,1940
206,102,1939
188,81,1940
196,99,1940
198,95,1940
188,77,1939
203,99,1940
198,92,1940
198,99,1941
196,95,1939
193,97,1934
183,83,1940
183,83,1940
188,86,1940
198,96,1940
196,90,1936
185,81,1940
193,92,1940
208,95,1937
188,79,1938
196,95,1939
190,81,1940
196,88,1941
213,112,1942
188,79,1940
196,92,1941
193,83,1941
206,104,1941
198,104,1938
188,79,1941
196,97,1939
203,104,1940
193,88,1940
193,83,1938
183,88,1939
190,86,1939
196,90,1940
188,77,1939
193,88,1941
211,102,1941
193,88,1941
203,97,1940
203,95,1941
196,87,1942
203,95,1942
185,79,1938
196,88,1941
213,104,1941
185,85,1942
193,97,1940
201,102,1942
201,102,1942
201,95,1942
206,108,1941
188,81,1942
193,102,1926
185,83,1941
198,95,1942
193,90,1942
201,104,1942
193,86,1942
196,97,1942
206,106,1942
201,99,1943
208,102,1941
201,97,1939
203,102,1942
201,92,1944
201,88,1942
201,113,1942
198,95,1943
198,95,1943
196,88,1944
203,92,1943
201,95,1942
185,77,1943
203,99,1942
196,92,1943
190,83,1943
196,92,1942
196,88,1942
173,77,1942
201,90,1941
208,106,1940
208,106,1940
208,106,1940
196,90,1941
198,95,1943
198,95,1943
188,81,1942
208,102,1944
183,77,1944
203,95,1941
190,81,1943
206,93,1944
208,104,1943
196,83,1943
188,79,1941
193,85,1941
185,77,1945
198,79,1944
213,108,1942
190,88,1915
201,104,1941
196,95,1944
203,95,1929
198,99,1942
196,90,1943
208,92,1944
203,97,1942
201,90,1944
185,74,1944
203,104,1943
203,104,1944
203,97,1943
185,83,1941
196,98,1944
190,92,1944
196,93,1944
201,95,1944
211,99,1945
198,95,1942
188,90,1944
196,92,1943
193,86,1944
190,88,1945
208,108,1943
193,95,1944
206,102,1941
201,99,1943
201,89,1945
196,92,1944
208,104,1943
193,90,1945
185,83,1945
185,83,1945
203,95,1944
190,88,1943
185,83,1943
203,99,1945
201,92,1943
188,86,1945
198,102,1943
183,81,1942
190,79,1945
188,81,1944
196,95,1945
201,95,1944
196,88,1944
196,92,1943
190,83,1944
203,104,1939
198,95,1945
193,92,1945
206,99,1944
213,102,1945
203,86,1943
201,99,1944
190,88,1944
188,79,1946
193,80,1944
196,86,1944
198,88,1944
185,81,1939
201,98,1944
206,106,1946
185,79,1946
206,92,1946
190,92,1945
185,79,1945
213,120,1945
203,99,1941
196,95,1946
208,111,1946
196,95,1946
193,88,1945
201,102,1945
185,77,1945
196,90,1945
185,83,1946
193,83,1947
206,106,1945
201,95,1944
203,102,1946
201,95,1946
203,108,1946
198,95,1947
206,97,1946
190,79,1946
193,90,1946
211,92,1946
213,108,1946
213,111,1946
190,86,1946
203,99,1946
196,92,1945
196,97,1946
211,106,1945
193,90,1945
208,102,1945
201,88,1943
196,88,1947
201,95,1945
201,111,1946
198,99,1945
190,81,1945
190,85,1944
190,81,1945
218,102,1947
188,79,1947
201,99,1946
193,83,1947
196,90,1946
190,83,1947
190,83,1945
198,88,1947
190,83,1946
190,83,1947
190,86,1946
201,93,1947
201,95,1947
203,95,1942
188,81,1946
203,97,1947
201,97,1945
190,79,1946
201,97,1947
196,92,1948
198,97,1946
196,90,1947
208,99,1946
193,88,1947
206,104,1947
203,99,1948
196,86,1939
196,86,1939
208,99,1948
190,81,1947
190,81,1947
190,79,1945
188,78,1947
198,95,1947
185,68,1948
196,92,1947
208,106,1948
193,88,1944
208,99,1941
208,115,1946
188,79,1946
190,79,1948
206,104,1948
206,104,1948
201,97,1947
193,83,1946
216,108,1947
193,86,1948
190,81,1946
206,95,1948
198,102,1947
203,102,1949
198,99,1948
206,86,1949
206,86,1949
206,97,1948
206,104,1948
198,97,1948
211,111,1947
201,90,1947
190,81,1948
201,97,1947
208,106,1948
211,113,1948
196,89,1947
190,83,1948
206,99,1948
196,97,1948
201,95,1948
196,86,1948
175,74,1948
196,92,1948
201,99,1948
193,86,1948
190,90,1948
206,106,1948
208,102,1948
198,102,1944
206,106,1945
203,102,1948
198,99,1947
206,95,1948
206,102,1945
196,81,1948
198,92,1948
203,98,1948
190,83,1948
206,99,1948
180,79,1947
193,77,1948
188,88,1948
188,82,1945
201,90,1946
185,74,1948
190,92,1947
185,77,1948
198,88,1949
213,104,1948
190,82,1948
193,90,1948
198,104,1948
190,81,1950
190,83,1949
188,72,1949
196,95,1950
201,86,1948
196,95,1948
203,95,1947
196,87,1949
190,83,1948
190,81,1949
185,81,1948
206,97,1949
190,83,1949
201,97,1946
211,103,1948
203,108,1949
201,102,1949
203,97,1947
183,79,1948
188,88,1949
208,104,1949
193,90,1949
201,99,1947
206,102,1948
218,108,1950
203,99,1948
206,104,1949
193,88,1948
190,88,1949
201,102,1949
196,79,1948
213,113,1949
190,81,1948
213,99,1949
196,81,1949
203,92,1948
203,102,1949
196,97,1950
188,79,1948
188,83,1949
201,97,1946
188,86,1948
185,83,1949
188,81,1950
185,79,1950
196,95,1947
196,92,1942
201,95,1950
201,97,1950
203,99,1949
190,83,1946
188,81,1950
198,92,1950
196,86,1949
188,79,1949
198,95,1950
208,99,1950
201,97,1950
201,86,1946
183,77,1949
198,90,1949
203,102,1945
196,83,1950
211,94,1950
206,95,1951
193,81,1950
203,90,1950
198,97,1950
203,88,1950
201,102,1950
198,99,1948
183,77,1950
190,88,1949
208,104,1951
208,102,1950
203,88,1950
190,81,1949
185,77,1950
201,97,1949
196,86,1950
193,97,1948
198,97,1950
185,72,1947
198,93,1950
193,88,1950
198,95,1947
203,99,1950
206,90,1951
206,83,1951
196,83,1951
206,95,1951
201,95,1951
201,99,1951
193,88,1947
198,85,1949
190,81,1951
190,81,1951
198,81,1951
190,83,1951
198,99,1950
201,98,1951
183,81,1951
203,102,1950
201,102,1950
190,83,1949
201,90,1950
203,88,1951
193,86,1950
190,81,1951
208,95,1952
190,88,1949
203,99,1951
213,104,1951
196,95,1951
188,81,1951
201,90,1948
188,81,1928
206,88,1951
188,83,1951
190,86,1951
196,90,1950
198,88,1950
196,95,1950
188,79,1950
185,86,1945
203,104,1951
185,79,1951
201,88,1950
213,106,1950
208,104,1943
203,97,1948
196,83,1951
193,83,1950
196,88,1952
193,80,1954
218,102,1952
206,98,1951
211,99,1949
201,89,1951
196,95,1951
183,79,1952
198,92,1954
190,79,1952
198,102,1952
203,108,1951
208,90,1950
206,99,1950
190,86,1952
183,81,1952
201,90,1951
203,95,1952
208,86,1952
193,85,1945
198,89,1950
213,111,1951
193,81,1952
183,74,1951
198,86,1952
183,77,1955
190,79,1953
206,102,1951
201,102,1951
196,98,1944
201,95,1951
196,88,1952
188,86,1920
193,83,1952
206,102,1953
190,83,1951
188,90,1947
203,86,1951
183,83,1951
211,95,1952
188,74,1952
193,86,1952
201,97,1952
201,90,1950
198,86,1953
201,104,1951
193,83,1926
193,83,1952
206,95,1954
196,88,1953
201,86,1951
201,97,1953
206,99,1953
196,95,1953
206,83,1954
211,106,1951
203,90,1950
211,113,1957
193,86,1951
208,92,1953
196,92,1953
206,97,1952
206,97,1952
190,83,1944
196,95,1953
198,90,1953
201,81,1951
193,92,1952
193,86,1954
183,79,1951
190,83,1953
196,92,1942
213,106,1953
190,92,1953
190,92,1953
208,102,1953
198,83,1953
190,86,1951
203,102,1953
188,83,1948
190,86,1953
203,106,1950
211,97,1952
208,97,1953
203,97,1953
188,83,1955
206,105,1954
201,104,1953
190,77,1949
203,95,1953
198,95,1952
198,90,1953
206,106,1952
190,89,1953
203,99,1953
188,88,1953
188,79,1953
203,92,1957
201,99,1954
185,77,1952
211,102,1955
203,95,1952
193,92,1953
190,81,1950
203,102,1951
206,102,1945
201,90,1955
188,90,1946
190,86,1954
188,83,1953
193,86,1950
183,74,1947
183,74,1947
203,97,1952
203,95,1955
183,77,1944
206,99,1944
196,94,1956
188,77,1955
198,89,1954
208,108,1949
208,99,1948
208,104,1954
190,81,1954
211,97,1946
206,99,1952
193,86,1952
201,86,1954
201,95,1950
193,83,1954
188,81,1953
193,86,1954
193,83,1950
203,90,1953
201,81,1952
218,108,1949
208,90,1951
201,99,1953
206,92,1954
206,95,1953
201,92,1953
193,86,1953
206,97,1949
188,77,1954
211,99,1952
206,106,1948
193,83,1954
206,95,1951
211,98,1950
198,99,1946
206,102,1954
190,83,1936
190,83,1952
196,92,1949
206,92,1952
198,88,1952
206,104,1954
185,81,1951
193,87,1952
208,104,1952
190,79,1953
206,97,1952
208,97,1955
201,97,1954
190,86,1953
185,81,1946
196,86,1952
211,108,1950
198,90,1951
203,102,1956
208,97,1949
208,99,1953
213,104,1953
198,90,1955
211,106,1948
203,90,1950
208,106,1949
185,86,1953
203,92,1953
193,88,1953
203,108,1955
185,81,1949
196,90,1949
190,86,1952
213,99,1949
198,86,1954
196,83,1953
188,83,1951
183,79,1946
203,90,1954
193,88,1950
193,88,1954
170,68,1953
185,79,1950
185,79,1950
193,86,1955
201,86,1954
183,72,1953
193,88,1952
211,99,1955
216,102,1952
198,88,1954
183,74,1943
183,74,1943
188,83,1951
196,95,1947
185,72,1954
190,79,1955
201,97,1955
208,106,1954
190,86,1955
188,79,1954
201,102,1953
198,86,1953
188,83,1955
188,83,1952
201,99,1955
198,88,1953
198,97,1955
173,74,1948
201,95,1954
190,81,1955
203,92,1931
201,104,1954
201,104,1954
213,102,1955
196,83,1936
201,97,1954
208,106,1954
188,79,1955
198,98,1955
183,77,1954
201,86,1952
198,95,1955
196,81,1955
203,92,1944
190,92,1954
201,98,1956
185,77,1955
201,92,1956
206,95,1955
188,81,1955
208,99,1955
203,97,1955
198,86,1954
190,90,1954
203,92,1955
203,95,1954
203,88,1955
188,77,1955
201,95,1953
206,106,1955
203,92,1955
196,83,1955
193,88,1956
216,106,1955
201,83,1955
198,97,1954
211,104,1955
185,77,1955
180,74,1955
190,81,1956
206,102,1955
190,85,1954
201,90,1955
180,74,1956
185,79,1954
198,83,1957
193,81,1955
198,86,1956
201,97,1956
196,86,1956
185,81,1956
196,77,1956
208,99,1956
211,113,1956
211,127,1955
201,99,1956
206,102,1955
198,88,1956
188,79,1956
196,92,1956
188,83,1956
208,102,1954
203,99,1956
198,88,1956
183,81,1955
198,88,1955
201,99,1956
208,108,1956
198,83,1956
201,92,1955
183,83,1956
196,88,1956
183,72,1955
201,97,1956
201,95,1955
198,92,1956
196,90,1956
190,92,1956
